tweet_id,author_id,inbound,created_at,response_tweet_id,in_response_to_tweet_id,Cleaned
119254,SpotifyCares,False,Wed Oct 11 13:41:25 +0000 2017,119255,119256.0,hidevichappencouldalsoletuknowandroidspotifiversion'reuse'dgreat/ay
119255,105840,True,Wed Oct 11 13:45:59 +0000 2017,119257,119254.0,thankversion...armvankerbluetoothspeakersamsunggalaxitabmodelsm-tdistancspeakermatter
119257,SpotifyCares,False,Wed Oct 11 14:00:48 +0000 2017,119258,119255.0,thanks.distanccouldpossiblaffectplayback.loggtrestartdevicgtlogbackmakediffer/ay
119258,105840,True,Wed Oct 11 14:01:58 +0000 2017,119259,119257.0,'vemovespeakermetraway'sskipmometrawaybefore.fingercross
119259,SpotifyCares,False,Wed Oct 11 14:20:00 +0000 2017,119260,119258.0,'sgreathear.anythcomeletuknow.'llcarrihelp/ay
119260,105840,True,Wed Oct 11 14:22:05 +0000 2017,119261,119259.0,brilliantthank
119261,SpotifyCares,False,Wed Oct 11 14:41:35 +0000 2017,,119260.0,'rewelcom'sanythelhelpgiveushout.'re/cp
119256,105840,True,Wed Oct 11 12:53:29 +0000 2017,119254,,pleahelpspotifipremiumskipsongconstantliandroidtabletampbluetoothspeaker.trieveryth
119262,AppleSupport,False,Wed Oct 11 13:30:39 +0000 2017,,119263.0,'dlovehelppleadmuletuknowstep'vetrisincexperiencbehavior
119263,105841,True,Wed Oct 11 06:29:07 +0000 2017,119262,,..phonesuckappbrokenwifidisconnectfrequent
119264,British_Airways,False,Wed Oct 11 13:36:31 +0000 2017,,119265.0,'resorriflightdelaybeatner.travelbaupdatdeparturtime
119265,105842,True,Wed Oct 11 10:42:43 +0000 2017,"119,264,119,266",,firstflightlongtimeonedelayshortjumpfra-lcioneprovidstatuupdat
119267,AppleSupport,False,Wed Oct 11 13:30:38 +0000 2017,,119268.0,batterilifeimport'reyou.dmuioversioniphonrunning.'llgo
119268,105843,True,Wed Oct 11 06:27:16 +0000 2017,119267,,okayusefuckphoneminutdrainfuckpercent
119269,AppleSupport,False,Wed Oct 11 13:30:12 +0000 2017,,119270.0,thankreachus.alwayhappihelp.sendudmlooktogeth
119270,105844,True,Wed Oct 11 06:49:50 +0000 2017,119269,119271.0,getiphonplubackoldiopleabatterirunhalftimeappfrequentcrash
119271,AppleSupport,False,Wed Oct 11 03:26:00 +0000 2017,119270,119272.0,'dhappihelp.sendudmstart
119272,105844,True,Wed Oct 11 02:19:23 +0000 2017,119271,,paralysphoneupdatgrrrrrrrrrr
119273,O2,False,Wed Oct 11 13:13:14 +0000 2017,,119274.0,'dlikehelpsamnumbercallpleadmuinfoadvis
119274,82476,True,Wed Oct 11 12:50:07 +0000 2017,119273,,receivweekagosinc'vegetcalldaytelemarketer.someonusename
119275,comcastcares,False,Wed Oct 11 13:42:46 +0000 2017,,119276.0,understandfrustratexperipleasenddmaccountinformlookmatteryou.-ad
119276,105845,True,Wed Oct 11 13:38:04 +0000 2017,119275,,internetxfinititalkinhour...gamemess
119277,sprintcare,False,Wed Oct 11 13:29:53 +0000 2017,,119278.0,understandfrustratsituatbe.pleafollowusenddmassistance.sprintcares.-ac
119278,105676,True,Wed Oct 11 13:24:06 +0000 2017,119277,,serviclastminsprintgetrefund
119279,AppleSupport,False,Wed Oct 11 13:35:01 +0000 2017,,119280.0,'dlikehelp.happentrilistenapplmusicampusewhatsappmusicpausletuknowdm
119280,105846,True,Wed Oct 11 07:13:34 +0000 2017,119279,,newupdatletlistenmusicgowhatsapptime
119281,SpotifyCares,False,Wed Oct 11 13:31:32 +0000 2017,119282,119283.0,hiharrihelp'shere.checkloggtrestartdevicgtlogbackmakedifferkeepupost/mu
119282,105847,True,Wed Oct 11 13:46:20 +0000 2017,119284,119281.0,seemworkstage.letknowhappenagain.cheer
119284,SpotifyCares,False,Wed Oct 11 14:07:15 +0000 2017,119285,119282.0,surething.'llkeepeyeupdat/mu
119285,105847,True,Thu Oct 12 10:25:35 +0000 2017,119286,119284.0,problemcomebacktoday.kindbug
119286,SpotifyCares,False,Thu Oct 12 11:43:57 +0000 2017,119287,119285.0,thankgiveunudgthis.devicopersystemspotifiversionhappen/ay
119287,105847,True,Thu Oct 12 12:04:21 +0000 2017,119288,119286.0,'smacbookairearlirunhighsierraspotifiversion....gaca
119288,SpotifyCares,False,Thu Oct 12 12:09:13 +0000 2017,,119287.0,gotit.tristepuhelpthis.letuknowplay/ay
119283,105847,True,Wed Oct 11 12:37:46 +0000 2017,119281,,'veissuplayback.songstopmidwaywon'trestartunlessclosereopenapp
119289,AppleSupport,False,Wed Oct 11 13:44:29 +0000 2017,"119,290,119,291",119292.0,let'stakelook.exactio'reuseusespecifappnoticdmurepli
119290,105848,True,Wed Oct 11 13:48:49 +0000 2017,,119289.0,latestversion😡😡readhelppageturnvirtualapplocatsvtypedroplife
119291,105848,True,Wed Oct 11 15:44:02 +0000 2017,,119289.0,superhelpproblemsolvloveappl
119292,105848,True,Wed Oct 11 08:06:34 +0000 2017,119289,,stillkillbatteriwithinhourphonemontholddisgracusegetday
119293,AppleSupport,False,Wed Oct 11 13:30:00 +0000 2017,,119294.0,thankreachus.alwayhappihelp.sendudmlooktogeth
119294,105849,True,Wed Oct 11 07:03:47 +0000 2017,119293,,tookphonechargam.batteriremaining.plzbegsortbatterilifeout😩
119295,SouthwestAir,False,Wed Oct 11 13:39:32 +0000 2017,119296,119297.0,pointloadhitnumbergetimmedi'llevenreceivcongratemail.almost^ac
119296,105850,True,Wed Oct 11 13:55:48 +0000 2017,,119295.0,thankanswer
119297,105850,True,Wed Oct 11 13:34:46 +0000 2017,119295,,curiou....getcompanionpasexactmomentgetenoughpointwaitthank
119298,AppleSupport,False,Wed Oct 11 13:34:00 +0000 2017,,119299.0,'dlikeprovidassistthis.telluissu'reexperiencdm.'llgo
119299,105851,True,Wed Oct 11 07:16:18 +0000 2017,119298,,neednewcodei-store.recdmsgmanisent.help
119300,AppleSupport,False,Wed Oct 11 13:31:27 +0000 2017,,119301.0,experiencissudevicdmu'sgoon.'llseehelp
119301,105852,True,Wed Oct 11 08:50:14 +0000 2017,119300,,fixupdate.horribl
119266,British_Airways,False,Wed Oct 11 13:37:15 +0000 2017,119302,119265.0,appreci'shopedepartsoon.'resorriinconvenidelaycaused.^jr
119302,105842,True,Wed Oct 11 13:47:24 +0000 2017,119303,119266.0,thankanswer.responsonsitaircraftdeparttodayrebookdelay...
119303,British_Airways,False,Wed Oct 11 16:28:34 +0000 2017,,119302.0,sorrihearthis.hopegeteverythsorted.kindregard^jool
119304,Ask_Spectrum,False,Wed Oct 11 13:42:00 +0000 2017,119305,119306.0,sorripoorexperience.pleadmfullservicaddressnameaccountas...
119305,105854,True,Wed Oct 11 13:49:52 +0000 2017,,119304.0,'syard.'vecalltimeweeks.'mcustom'sprettitempting.coaxial
119306,105854,True,Wed Oct 11 13:27:49 +0000 2017,"119,304,119,307",,guessmeanfreecablneighborhood
119308,Tesco,False,Wed Oct 11 13:33:07 +0000 2017,119309,119310.0,hithomacolleagubelievpersonbuyalcohollookchallengidprove'reage.paig
119309,105855,True,Wed Oct 11 13:33:43 +0000 2017,,119308.0,maybhirecolleagusee
119310,105855,True,Wed Oct 11 13:31:06 +0000 2017,119308,119311.0,point'senforcproperlidon't.plutakecommon-sensthinkpersonlook
119311,Tesco,False,Wed Oct 11 13:28:34 +0000 2017,"119,310,119,312",119313.0,hithomacorrecthelpstorecolleagujudgageprotectmakeunderagsales.amanda
119313,105855,True,Wed Oct 11 12:29:52 +0000 2017,119311,119314.0,ukofflicenslaw
119314,Tesco,False,Wed Oct 11 12:17:02 +0000 2017,119313,119315.0,hithomaoperthinkpolicistores.'dflatterid'd.helena
119315,105855,True,Wed Oct 11 12:14:41 +0000 2017,"119,316,119,314",,gotid'sbuyoneadnambroadside.blindpartjob-speckilo
119317,Tesco,False,Wed Oct 11 13:42:19 +0000 2017,119318,119319.0,hicouldtrideletcachcookireinstalappusefixissudani
119318,105856,True,Wed Oct 11 13:43:09 +0000 2017,119320,119317.0,loseshop'vedonedeletcache/cookiuseapp
119320,Tesco,False,Wed Oct 11 13:45:00 +0000 2017,119321,119318.0,hilongsignaccountpriordeletcachampcooki'llstillfullbasketthankmike
119321,105856,True,Wed Oct 11 13:48:39 +0000 2017,119322,119320.0,donethat.stilltelldeliverislotwhatsoev
119322,Tesco,False,Wed Oct 11 13:49:29 +0000 2017,,119321.0,dmfullnameaddressemail'dhappilookthankmike
119319,105856,True,Wed Oct 11 13:36:32 +0000 2017,119317,,heywebsit'sbroken.'stelldeliverislotnextweekfindslightliunlik
119323,AppleSupport,False,Wed Oct 11 13:55:31 +0000 2017,,119324.0,particularappseemcausissuothermodeliphonusejoinudm
119324,105857,True,Wed Oct 11 08:52:14 +0000 2017,119323,119325.0,latestversionios.startimmediupdatphone
119325,AppleSupport,False,Wed Oct 11 00:19:34 +0000 2017,119324,119326.0,'dlikehelpcan.starthappenversionioruncurrent
119326,105857,True,Tue Oct 10 23:09:08 +0000 2017,119325,,appstopworkwithoutwarnphonefreezeverifiveminutlovenewupdat
119327,HPSupport,False,Wed Oct 11 13:36:36 +0000 2017,,119328.0,hiagourathanktweeting.pleareferarticlampclicklinkrepliback.^rashmi
119328,105858,True,Wed Oct 11 02:04:50 +0000 2017,119327,,problemprintheadserialthdhn
119329,UPSHelp,False,Wed Oct 11 13:56:00 +0000 2017,,119330.0,upserviccallchoicallowpackagdelivupstore.^ml
119330,105859,True,Wed Oct 11 13:50:42 +0000 2017,119329,119331.0,wishamazonoptiongetshipupstoreavoidlotstruggl
119331,105860,True,Wed Oct 11 13:47:14 +0000 2017,119330,,reschedulshittomorrow
119332,Tesco,False,Wed Oct 11 13:34:06 +0000 2017,119333,119334.0,heysarasorrihearissuask'slayspeedwebsitrespondtychri
119333,105861,True,Wed Oct 11 14:05:18 +0000 2017,"119,335,119,336",119332.0,bitfindlayoutcumbersomremovitemfavegethugeslowdown.keenthingreenline
119335,Tesco,False,Wed Oct 11 15:38:07 +0000 2017,,119333.0,n'thelppleadmfullnameaddressemailincludbrowserdeviclogthis.thanklee
